flux,peak_superoxide_uM,peak_h2o2_uM,peak_oh_nM,steady_superoxide_uM,steady_h2o2_uM,dna_damage_120s,superoxide_lethal,h2o2_lethal
0,0.001,0.1,0.001,0.0,0.0,0.0,no,no
5,0.001,0.1,0.001,0.0,0.0,0.0,no,no
10,0.001,0.1,0.001,0.0,0.0001,0.0,no,no
15,0.001,0.1,0.001,0.0,0.0001,0.0,no,no
20,0.001,0.1,0.001,0.0,0.0001,1e-06,no,no
25,0.001,0.1,0.001,0.0,0.0002,1e-06,no,no
30,0.001,0.1,0.001,0.0,0.0002,1e-06,no,no
40,0.001,0.1,0.001,0.0,0.0003,1e-06,no,no
50,0.001,0.1,0.001,0.0,0.0003,2e-06,no,no
75,0.001,0.1,0.001,0.0,0.0005,2e-06,no,no
100,0.001,0.1,0.001,0.0,0.0006,3e-06,no,no
